Title,Type,Service,Genre,IMDB,ReelGood,Released Year,Seasons
Breaking Bad,tv,Netflix,Crime,9.5,100.0,2008,5.0
Breaking Bad,tv,Netflix,Drama,9.5,100.0,2008,5.0
Rick and Morty,tv,Hulu,Action & Adventure,9.2,96.0,2013,4.0
Rick and Morty,tv,Hulu,Comedy,9.2,96.0,2013,4.0
Rick and Morty,tv,Hulu,Science-Fiction,9.2,96.0,2013,4.0
Rick and Morty,tv,Hulu,Animation,9.2,96.0,2013,4.0
Stranger Things,tv,Netflix,Drama,8.8,96.0,2016,4.0
Stranger Things,tv,Netflix,Fantasy,8.8,96.0,2016,4.0
Stranger Things,tv,Netflix,Horror,8.8,96.0,2016,4.0
Fargo,tv,Hulu,Crime,8.9,94.0,2014,4.0
Fargo,tv,Hulu,Drama,8.9,94.0,2014,4.0
Fargo,tv,Hulu,Thriller,8.9,94.0,2014,4.0
Sherlock,tv,Netflix,Crime,9.1,94.0,2010,4.0
Sherlock,tv,Netflix,Drama,9.1,94.0,2010,4.0
Sherlock,tv,Netflix,Action & Adventure,9.1,94.0,2010,4.0
Avatar: The Last Airbender,tv,Netflix,Family,9.2,94.0,2005,3.0
Avatar: The Last Airbender,tv,Netflix,Action & Adventure,9.2,94.0,2005,3.0
Avatar: The Last Airbender,tv,Netflix,Animation,9.2,94.0,2005,3.0
South Park,tv,Hulu,Comedy,8.7,90.0,1997,24.0
South Park,tv,Hulu,Animation,8.7,90.0,1997,24.0
Attack on Titan,tv,Netflix,Anime,8.8,92.0,2013,3.0
Attack on Titan,tv,Netflix,Action & Adventure,8.8,92.0,2013,3.0
Attack on Titan,tv,Netflix,Animation,8.8,92.0,2013,3.0
Attack on Titan,tv,Hulu,Anime,8.8,92.0,2013,3.0
Attack on Titan,tv,Hulu,Action & Adventure,8.8,92.0,2013,3.0
Attack on Titan,tv,Hulu,Animation,8.8,92.0,2013,3.0
Supernatural,tv,Netflix,Drama,8.4,93.0,2005,16.0
Supernatural,tv,Netflix,Fantasy,8.4,93.0,2005,16.0
Supernatural,tv,Netflix,Horror,8.4,93.0,2005,16.0
Dark,tv,Netflix,Crime,8.8,94.0,2017,3.0
Dark,tv,Netflix,Drama,8.8,94.0,2017,3.0
Dark,tv,Netflix,Mystery,8.8,94.0,2017,3.0
The Office,tv,Netflix,Comedy,8.9,93.0,2005,
Better Call Saul,tv,Netflix,Crime,8.7,92.0,2015,
Better Call Saul,tv,Netflix,Drama,8.7,92.0,2015,
Better Call Saul,tv,Netflix,Comedy,8.7,92.0,2015,
Black Mirror,tv,Netflix,Drama,8.8,92.0,2011,5.0
Black Mirror,tv,Netflix,Fantasy,8.8,92.0,2011,5.0
Black Mirror,tv,Netflix,Science-Fiction,8.8,92.0,2011,5.0
The Walking Dead,tv,Netflix,Drama,8.2,91.0,2010,10.0
The Walking Dead,tv,Netflix,Horror,8.2,91.0,2010,10.0
Parks and Recreation,tv,Hulu,Comedy,8.6,90.0,2009,7.0
The Simpsons,tv,Disney+,Family,8.7,91.0,1989,32.0
The Simpsons,tv,Disney+,Comedy,8.7,91.0,1989,32.0
The Simpsons,tv,Disney+,Animation,8.7,91.0,1989,32.0
The Simpsons,tv,Hulu,Family,8.7,91.0,1989,32.0
The Simpsons,tv,Hulu,Comedy,8.7,91.0,1989,32.0
The Simpsons,tv,Hulu,Animation,8.7,91.0,1989,32.0
Dexter,tv,Netflix,Crime,8.6,91.0,2006,8.0
Dexter,tv,Netflix,Drama,8.6,91.0,2006,8.0
Dexter,tv,Netflix,Mystery,8.6,91.0,2006,8.0
Money Heist,tv,Netflix,Crime,8.4,91.0,2017,3.0
Money Heist,tv,Netflix,Action & Adventure,8.4,91.0,2017,3.0
Money Heist,tv,Netflix,Thriller,8.4,91.0,2017,3.0
Peaky Blinders,tv,Netflix,Crime,8.8,91.0,2013,7.0
Peaky Blinders,tv,Netflix,Drama,8.8,91.0,2013,7.0
Sex Education,tv,Netflix,Drama,8.3,91.0,2019,3.0
Sex Education,tv,Netflix,Comedy,8.3,91.0,2019,3.0
Sex Education,tv,Netflix,LGBTQ,8.3,91.0,2019,3.0
Brooklyn Nine-Nine,tv,Hulu,Crime,8.4,91.0,2013,8.0
Brooklyn Nine-Nine,tv,Hulu,Action & Adventure,8.4,91.0,2013,8.0
Brooklyn Nine-Nine,tv,Hulu,Comedy,8.4,91.0,2013,8.0
Mindhunter,tv,Netflix,Crime,8.6,91.0,2017,2.0
Mindhunter,tv,Netflix,Drama,8.6,91.0,2017,2.0
Mindhunter,tv,Netflix,Thriller,8.6,91.0,2017,2.0
Vikings,tv,Hulu,History,8.5,91.0,2013,6.0
Vikings,tv,Hulu,Drama,8.5,91.0,2013,6.0
Vikings,tv,Hulu,Action & Adventure,8.5,91.0,2013,6.0
Lost,tv,Hulu,Drama,8.3,91.0,2004,6.0
Lost,tv,Hulu,Action & Adventure,8.3,91.0,2004,6.0
Lost,tv,Hulu,Science-Fiction,8.3,91.0,2004,6.0
Marvel's Daredevil,tv,Netflix,Crime,8.6,90.0,2015,3.0
Marvel's Daredevil,tv,Netflix,Drama,8.6,90.0,2015,3.0
Marvel's Daredevil,tv,Netflix,Action & Adventure,8.6,90.0,2015,3.0
Cobra Kai,tv,Netflix,Drama,8.7,92.0,2018,3.0
Cobra Kai,tv,Netflix,Action & Adventure,8.7,92.0,2018,3.0
Cobra Kai,tv,Netflix,Comedy,8.7,92.0,2018,3.0
The Big Bang Theory,tv,Hulu,Romance,8.1,90.0,2007,12.0
The Big Bang Theory,tv,Hulu,Comedy,8.1,90.0,2007,12.0
Narcos,tv,Netflix,Crime,8.8,90.0,2015,4.0
Narcos,tv,Netflix,Drama,8.8,90.0,2015,4.0
Narcos,tv,Netflix,Biography,8.8,90.0,2015,4.0
Firefly,tv,Hulu,Drama,9.0,90.0,2002,1.0
Firefly,tv,Hulu,Action & Adventure,9.0,90.0,2002,1.0
Firefly,tv,Hulu,Science-Fiction,9.0,90.0,2002,1.0
Twin Peaks,tv,Netflix,Drama,8.8,89.0,1990,3.0
Twin Peaks,tv,Netflix,Mystery,8.8,89.0,1990,3.0
Twin Peaks,tv,Netflix,Horror,8.8,89.0,1990,3.0
Twin Peaks,tv,Hulu,Drama,8.8,89.0,1990,3.0
Twin Peaks,tv,Hulu,Mystery,8.8,89.0,1990,3.0
Twin Peaks,tv,Hulu,Horror,8.8,89.0,1990,3.0
Archer,tv,Hulu,Action & Adventure,8.6,89.0,2009,11.0
Archer,tv,Hulu,Comedy,8.6,89.0,2009,11.0
Archer,tv,Hulu,Animation,8.6,89.0,2009,11.0
Lucifer,tv,Netflix,Crime,8.2,91.0,2016,5.0
Lucifer,tv,Netflix,Fantasy,8.2,91.0,2016,5.0
Lucifer,tv,Netflix,Science-Fiction,8.2,91.0,2016,5.0
Modern Family,tv,Hulu,Romance,8.4,90.0,2009,
Modern Family,tv,Hulu,Family,8.4,90.0,2009,
Modern Family,tv,Hulu,Drama,8.4,90.0,2009,
Modern Family,tv,Hulu,Comedy,8.4,90.0,2009,
Seinfeld,tv,Hulu,Stand-up & Talk,8.8,89.0,1989,9.0
Seinfeld,tv,Hulu,Comedy,8.8,89.0,1989,9.0
My Hero Academia,tv,Hulu,Anime,8.5,88.0,2016,5.0
My Hero Academia,tv,Hulu,Action & Adventure,8.5,88.0,2016,5.0
My Hero Academia,tv,Hulu,Animation,8.5,88.0,2016,5.0
It's Always Sunny in Philadelphia,tv,Hulu,Comedy,8.8,90.0,2005,15.0
